text,category
"To whom it may concern, the mobile banking app charged me a service fee that was never disclosed in the terms of use. Kindly look into this matter.",Mobile/Electronic Banking
I want to report that my home loan EMI was deducted twice in the same month and the bank has not refunded the extra amount despite repeated follow up. Kindly look into this matter.,Loans and Advances
I am writing to complain that i am facing repeated failed login attempts being flagged on my account despite using the correct credentials. Kindly look into this matter.,Mobile/Electronic Banking
"To whom it may concern, my loan account shows a default even though I have paid every installment on time for the last two years. Kindly look into this matter.",Loans and Advances
I am being billed an annual fee on my credit card that was supposed to be lifetime free as per the original offer. I have already raised this with the branch.,Credit Cards
I am writing to complain that my recurring deposit installment was not credited correctly and the maturity amount shown is incorrect. I have already raised this with the branch.,Deposit Accounts
"To whom it may concern, i reported a failed ATM transaction over a month ago and the amount has still not been reversed to my account.",ATM/Debit Cards
I want to report that my pension payment was delayed by over a month with no explanation from the bank handling my pension account. Please resolve this at the earliest.,Pension Related
"To whom it may concern, my mobile banking app shows a failed transaction but the amount was still deducted from my account. Kindly look into this matter.",Mobile/Electronic Banking
The bank sanctioned my car loan but is delaying disbursement for over six weeks without explanation. Please resolve this at the earliest.,Loans and Advances
"To whom it may concern, my mobile banking app shows a failed transaction but the amount was still deducted from my account. I have already raised this with the branch.",Mobile/Electronic Banking
I want to report that my debit card stopped working without any notice and the branch could not tell me why it was blocked. Kindly look into this matter.,ATM/Debit Cards
I am writing to complain that my OTP for a transaction I did not initiate was used to debit money from my savings account. Please resolve this at the earliest.,Mobile/Electronic Banking
I want to report that my NEFT transfer initiated through net banking has been stuck in processing for five days.,Mobile/Electronic Banking
I want to report that i am facing repeated failed login attempts being flagged on my account despite using the correct credentials. Please resolve this at the earliest.,Mobile/Electronic Banking
"To whom it may concern, i am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted. Please resolve this at the earliest.",Deposit Accounts
I want to report that my pension payment was delayed by over a month with no explanation from the bank handling my pension account. I have already raised this with the branch.,Pension Related
"I want to report that the bank has not updated my pension account after my annual life certificate submission, and payments have stopped. I have already raised this with the branch.",Pension Related
The bank is charging me an ATM usage fee even though I have not exceeded my free transaction limit for the month.,ATM/Debit Cards
A transaction I never made appeared on my credit card statement and the bank is refusing to investigate it. Please resolve this at the earliest.,Credit Cards
"To whom it may concern, my debit card stopped working without any notice and the branch could not tell me why it was blocked. Please resolve this at the earliest.",ATM/Debit Cards
I want to report that my pension payment was delayed by over a month with no explanation from the bank handling my pension account.,Pension Related
I want to report that the bank increased my credit card limit without my consent and now wants to charge interest on the new limit.,Credit Cards
I want to report that the bank deducted a minimum balance penalty from my account despite my maintaining the required average balance. Kindly look into this matter.,Deposit Accounts
I am writing to complain that i am facing repeated failed login attempts being flagged on my account despite using the correct credentials. Kindly look into this matter.,Mobile/Electronic Banking
"To whom it may concern, my home loan EMI was deducted twice in the same month and the bank has not refunded the extra amount despite repeated follow up.",Loans and Advances
I am writing to complain that my NEFT transfer initiated through net banking has been stuck in processing for five days. Please resolve this at the earliest.,Mobile/Electronic Banking
I am writing to complain that my family pension claim after my spouse's death has been pending at the branch for over four months. Please resolve this at the earliest.,Pension Related
"I am writing to complain that there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it.",Pension Related
"To whom it may concern, the bank closed my savings account for inactivity without sending any prior written notice. I have already raised this with the branch.",Deposit Accounts
"To whom it may concern, i was charged a processing fee on my loan that is double what was quoted to me at the time of application. I have already raised this with the branch.",Loans and Advances
I want to report that my credit card was blocked without notice while I was traveling and customer care could not explain why.,Credit Cards
I want to report that my loan account shows a default even though I have paid every installment on time for the last two years.,Loans and Advances
"To whom it may concern, i am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted. Kindly look into this matter.",Deposit Accounts
I am writing to complain that my debit card was used for a transaction in another city while the card was in my possession the entire time. Kindly look into this matter.,ATM/Debit Cards
I want to report that i was charged a late payment fee even though I paid my credit card bill one day before the due date. Kindly look into this matter.,Credit Cards
I want to report that my joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork.,Deposit Accounts
I want to report that the bank deducted a minimum balance penalty from my account despite my maintaining the required average balance. Please resolve this at the earliest.,Deposit Accounts
"To whom it may concern, there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. I have already raised this with the branch.",Pension Related
My debit card was used for a transaction in another city while the card was in my possession the entire time. Please resolve this at the earliest.,ATM/Debit Cards
I am writing to complain that my mobile banking app shows a failed transaction but the amount was still deducted from my account. I have already raised this with the branch.,Mobile/Electronic Banking
I am writing to complain that my recurring deposit installment was not credited correctly and the maturity amount shown is incorrect.,Deposit Accounts
I want to report that i am being asked to pay prepayment charges on my loan despite RBI guidelines stating otherwise for floating rate loans. Please resolve this at the earliest.,Loans and Advances
I am writing to complain that i am unable to log into net banking for two weeks now and customer support has not resolved the issue.,Mobile/Electronic Banking
"To whom it may concern, i am being asked to pay prepayment charges on my loan despite RBI guidelines stating otherwise for floating rate loans.",Loans and Advances
I am writing to complain that i reported a failed ATM transaction over a month ago and the amount has still not been reversed to my account. Please resolve this at the earliest.,ATM/Debit Cards
